,stn_name,stn_id,stn_lon,stn_lat,stn_ele,stn_obs_hgt,stn_mnet_id,stn_tmzn,stn_datetime_start,stn_datetime_end,stn_state,stn_county,stn_cwa,stn_notes
24,"Chino, Chino Airport",KCNO,-117.62361,33.97556,650.0,10.0,1,America/Los_Angeles,1997-04-12 00:00:00.000000,2020-09-08 23:20:00.000000,CA,San Bernardino,SGX, 
259,Columbia,KO22,-120.42,38.03,2119.0,10.0,1,America/Los_Angeles,2010-11-01 00:00:00.000000,2020-09-08 05:55:00.000000,CA,Tuolumne,STO, 
293,Compton - Woodley,KCPM,-118.24381,33.88992,99.0,10.0,1,America/Los_Angeles,2015-04-30 20:04:00.000000,2017-07-10 17:23:00.000000,CA,Los Angeles,LOX, 
20,"Concord, Buchanan Field",KCCR,-122.05194,37.99167,23.0,10.0,1,America/Los_Angeles,1997-04-12 00:00:00.000000,2020-09-08 23:20:00.000000,CA,Contra Costa,MTR, 
177,Coos Bay Coast Guard Station,K83S,-124.33333,43.35,75.0,10.0,1,America/Los_Angeles,2020-09-19 15:40:18.450704,2020-09-19 15:40:18.450704,OR,Coos,MFR, 
246,Corona Airport,KAJO,-117.6024,33.8977,534.0,10.0,1,America/Los_Angeles,2007-06-20 00:00:00.000000,2020-09-08 23:20:00.000000,CA,Riverside,SGX, 
27,"Corvallis, Corvallis Municipal Airport",KCVO,-123.28333,44.5,246.0,10.0,1,America/Los_Angeles,1997-04-12 00:00:00.000000,2020-09-08 23:20:00.000000,OR,Benton,PQR, 
21,"Crescent City, Jack Mcnamara Field Airport",KCEC,-124.23667,41.78028,56.0,10.0,1,America/Los_Angeles,1997-04-12 00:00:00.000000,2020-09-08 23:08:00.000000,CA,Del Norte,EKA, 
74,Crows Landing Naval Auxiliary Landing Field,KNRC,-121.1,37.4,164.0,10.0,1,America/Los_Angeles,2020-09-19 15:40:18.445228,2020-09-19 15:40:18.445229,CA,Stanislaus,STO, 
167,Cuddleback Gunnery Range,K4CB,-117.43333,35.26667,2835.0,10.0,1,America/Los_Angeles,2020-09-19 15:40:18.450653,2020-09-19 15:40:18.450658,CA,San Bernardino,VEF, 
29,"Daggett, Barstow-Daggett Airport",KDAG,-116.78667,34.85361,1926.0,10.0,1,America/Los_Angeles,1997-01-11 00:00:00.000000,2020-09-08 23:20:00.000000,CA,San Bernardino,VEF, 
195,Dana Point,K9L0,-117.68333,33.45,49.0,10.0,1,America/Los_Angeles,2020-09-19 15:40:18.450781,2020-09-19 15:40:18.450782,CA,Orange,LOX, 
172,Davis Point Aviation Weather Reporting Station,K52Q,-122.26667,38.05,59.0,10.0,1,America/Los_Angeles,2020-09-19 15:40:18.450679,2020-09-19 15:40:18.450680,CA,Contra Costa,MTR, 
301,Delano Municipal Airport,KDLO,-119.2365,35.74556,316.0,10.0,1,America/Los_Angeles,2018-11-05 22:02:00.000000,2020-09-08 23:35:00.000000,CA,Kern,HNX, 
242,Edwards Air Force Auxiliary North Base,K9L2,-117.86317,34.99083,2299.0,10.0,1,America/Los_Angeles,2005-08-08 00:00:00.000000,2020-09-08 22:58:00.000000,CA,Kern,HNX, 
31,Edwards Air Force Base,KEDW,-117.879,34.918,2310.0,10.0,1,America/Los_Angeles,1997-04-12 00:00:00.000000,2020-09-08 22:58:00.000000,CA,Kern,HNX, 
222,El Capitan Beach,KL98,-120.03333,33.45,89.0,10.0,1,America/Los_Angeles,2020-09-19 15:40:18.451101,2020-09-19 15:40:18.451101,CA,,LOX, 
71,"El Centro, Naval Air Facility",KNJK,-115.66056,32.825,-43.0,10.0,1,America/Los_Angeles,1997-04-12 00:00:00.000000,2020-09-08 21:56:00.000000,CA,Imperial,PSR, 
35,El Monte,KEMT,-118.03333,34.08333,295.0,10.0,1,America/Los_Angeles,1997-04-12 00:00:00.000000,2020-09-08 22:45:00.000000,CA,Los Angeles,LOX, 
82,El Toro Mcas,KNZJ,-117.73,33.67,384.0,10.0,1,America/Los_Angeles,1997-04-12 00:00:00.000000,1999-06-30 02:50:00.000000,CA,Orange,SGX, 
223,Elko Nexrad,KLRX,-116.80278,40.73889,6624.0,10.0,1,America/Los_Angeles,2020-09-19 15:40:18.451105,2020-09-19 15:40:18.451105,NV,Lander,LKN, 
