,KRDD-KSAC
2019-10-27,11.2
2019-10-26,8.8
2020-02-09,8.5
2020-02-08,7.8
2019-11-20,7.1
2018-12-31,6.9
2019-10-09,6.6
2019-10-10,6.6
2020-03-02,6.6
2020-09-08,6.5
2020-03-01,6.4
2018-11-08,6.1
2019-06-08,6.0
2020-09-27,5.9
2020-09-26,5.8
2020-08-17,5.7
2019-10-24,5.6
2019-10-23,5.5
2019-06-07,5.5
2019-10-29,5.5
