,KWMC-KSFO
2019-10-30,26.9
2019-10-29,24.9
2019-10-10,24.4
2019-10-24,23.0
2019-10-28,20.0
2019-10-11,19.8
2019-10-31,19.7
2019-10-27,19.2
2019-11-01,19.0
2019-10-23,18.5
2019-10-09,18.2
2019-11-02,18.1
2019-10-25,17.4
2019-10-26,16.0
2019-11-04,15.7
2019-11-03,15.7
2019-11-05,15.4
2019-11-11,15.4
2019-10-06,15.4
2019-10-12,15.3
