,KWMC-KSAC
2020-09-08,-128.6
2020-09-09,-131.3
2020-09-07,-132.2
2017-06-22,-132.3
2017-06-21,-133.1
2017-10-09,-133.2
2020-08-17,-133.4
2017-06-18,-133.6
2019-10-23,-133.8
2017-10-08,-133.9
2017-06-23,-134.0
2018-06-24,-134.0
2017-06-19,-134.3
2019-10-24,-134.4
2017-09-01,-134.5
2019-06-08,-134.5
2019-09-25,-134.5
2018-06-23,-134.5
2017-06-17,-134.6
2019-09-26,-134.8
